TID	name	official name	superkingdom	phylum	class	order	family	genus	species	subspecies
394	Sinorhizobium fredii NGR234	Sinorhizobium fredii NGR234	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii	1
882	Desulfovibrio vulgaris Hildenborough	Desulfovibrio vulgaris str. Hildenborough	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio vulgaris	1
883	Desulfovibrio vulgaris Miyazaki	Desulfovibrio vulgaris str. 'Miyazaki F'	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio vulgaris	1
1140	Synechococcus elongatus PCC7942	Synechococcus elongatus PCC 7942	Bacteria	Cyanobacteria	1	Chroococcales	1	Synechococcus	Synechococcus elongatus	1
1148	Synechocystis sp. PCC6803	Synechocystis sp. PCC 6803	Bacteria	Cyanobacteria	1	Chroococcales	1	Synechocystis	1	1
2110	Mycoplasma agalactiae	Mycoplasma agalactiae	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	1	1
2850	Phaeodactylum tricornutum	Phaeodactylum tricornutum	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Phaeodactylaceae	Phaeodactylum	1	1
3055	Chlamydomonas reinhardtii	Chlamydomonas reinhardtii	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	1	1
3218	Physcomitrella patens	Physcomitrella patens	Eukaryota	Streptophyta	Bryopsida	Funariales	Funariaceae	Physcomitrella	1	1
3694	Populus trichocarpa	Populus trichocarpa	Eukaryota	Streptophyta	1	Malpighiales	Salicaceae	Populus	1	1
3702	Arabidopsis thaliana	Arabidopsis thaliana	Eukaryota	Streptophyta	1	Brassicales	Brassicaceae	Arabidopsis	1	1
3711	Brassica rapa	Brassica rapa	Eukaryota	Streptophyta	1	Brassicales	Brassicaceae	Brassica	1	1
3847	Glycine max	Glycine max	Eukaryota	Streptophyta	1	Fabales	Fabaceae	Glycine	1	1
4081	Solanum lycopersicum	Solanum lycopersicum	Eukaryota	Streptophyta	1	Solanales	Solanaceae	Solanum	1	1
4113	Solanum tuberosum	Solanum tuberosum	Eukaryota	Streptophyta	1	Solanales	Solanaceae	Solanum	1	1
4513	Hordeum vulgare	Hordeum vulgare	Eukaryota	Streptophyta	Liliopsida	Poales	Poaceae	Hordeum	1	1
4533	Oryza brachyantha	Oryza brachyantha	Eukaryota	Streptophyta	Liliopsida	Poales	Poaceae	Oryza	1	1
4538	Oryza glaberrima	Oryza glaberrima	Eukaryota	Streptophyta	Liliopsida	Poales	Poaceae	Oryza	1	1
4555	Setaria italica	Setaria italica	Eukaryota	Streptophyta	Liliopsida	Poales	Poaceae	Setaria	1	1
4558	Sorghum bicolor	Sorghum bicolor	Eukaryota	Streptophyta	Liliopsida	Poales	Poaceae	Sorghum	1	1
