#                                                                          running time (s)                 
#                                                                   -------------------------------          
# idx  seq name  length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ---  --------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
    1  155864      1547        1     1430     no   1827.28       -       0.59       0.13       1.24     37.90
    2  203120      1551        1     1430     no   1850.59       -       0.52       0.10       1.09     37.70
    3  470146      1519        8     1425  5'&3'   1841.87       -       0.53       0.11       1.10     36.87
    4  349741      1512        1     1430     no   1735.93       -       0.53       0.12       1.10     37.14
    5  445970      1515        8     1425  5'&3'   1710.28       -       0.50       0.12       1.06     37.13
    6  445972      1513        8     1425  5'&3'   1839.49       -       0.48       0.11       1.04     36.75
    7  411901       533       26      494  5'&3'    539.47       -       0.06       0.04       0.26      9.08
    8  470145      1516        8     1425  5'&3'   1669.06       -       0.50       0.13       1.08     37.32
    9  547042      1519        8     1425  5'&3'   1674.31       -       0.50       0.13       1.09     37.36
   10  483216      1515        8     1425  5'&3'   1674.65       -       0.50       0.12       1.07     37.15
   11  483215      1517        8     1425  5'&3'   1675.01       -       0.50       0.13       1.07     37.32
   12  457424      1325      171     1430     5'   1472.40       -       0.37       0.11       0.88     30.78
   13  471870      1511        8     1425  5'&3'   1672.04       -       0.49       0.14       1.07     37.25
   14  411476       533       26      494  5'&3'    543.07       -       0.06       0.04       0.27      9.09
   15  483218      1521        8     1425  5'&3'   1831.71       -       0.50       0.11       1.05     37.00
   16  484018      1304        8     1234  5'&3'   1372.88       -       0.35       0.12       0.86     30.18
   17  449673      1926       11     1430     5'   1561.32       -       0.61       0.15       1.30     47.13
   18  226186      1530        1     1430     no   1672.03       -       0.50       0.13       1.05     37.76
   19  435590      1528        1     1430     no   1674.43       -       0.50       0.14       1.06     37.77
   20  657309      1465       22     1387  5'&3'   1599.33       -       0.46       0.12       1.00     35.44
   21  367928      1532        1     1430     no   1793.55       -       0.50       0.10       1.03     37.35
   22  206672      1526        1     1430     no   1807.96       -       0.51       0.10       1.04     37.19
   23  547043      1516        8     1425  5'&3'   1796.45       -       0.49       0.11       1.02     36.77
   24  537007      1451        2     1374  5'&3'   1583.99       -       0.44       0.12       0.97     35.03
   25  511680      1526        6     1430     5'   1834.46       -       0.49       0.11       1.04     37.24
   26  445973      1429       26     1381  5'&3'   1746.22       -       0.42       0.11       0.94     34.18
   27  411902       622      848     1430     5'    602.98       -       0.08       0.06       0.31     11.20
   28  428125       543       26      494  5'&3'    602.32       -       0.06       0.04       0.25      9.09
   29  537013      1516        8     1425  5'&3'   1847.32       -       0.49       0.11       1.02     36.79
   30  411468      1523        8     1425  5'&3'   1830.46       -       0.49       0.11       1.03     37.04
   31  411489       522      930     1429  5'&3'    614.40       -       0.06       0.03       0.24      8.87
   32  411903       483      926     1371  5'&3'    522.57       -       0.05       0.04       0.23      8.15
   33  411474       861      617     1429  5'&3'   1061.02       -       0.16       0.06       0.47     16.82
   34  411461      1519        8     1425  5'&3'   1823.50       -       0.49       0.11       1.02     36.89
   35  411462       521       26      494  5'&3'    600.20       -       0.06       0.03       0.24      8.74
   36  518637      1528        8     1425  5'&3'   1802.86       -       0.50       0.12       1.04     37.28
   37  411469      1424       61     1425  5'&3'   1708.04       -       0.44       0.11       0.95     34.16
   38  657318      1533        1     1430     no   1830.76       -       0.50       0.11       1.04     37.47
   39  411463       486      976     1430     5'    506.89       -       0.05       0.03       0.23      8.05
   40  657322      2019        8      977  5'&3'   1048.53       -       0.42       0.13       1.11     41.85
   41  545696      1259      235     1425  5'&3'   1554.28       -       0.33       0.08       0.77     28.12
   42  435591      1527        1     1430     no   1699.61       -       0.50       0.13       1.07     37.61
   43  411477       533       26      494  5'&3'    546.93       -       0.06       0.04       0.25      9.07
   44  537011      1493        8     1398  5'&3'   1592.11       -       0.47       0.14       1.04     36.46
   45  411467       354      498      842  5'&3'    444.14       -       0.03       0.02       0.15      5.49
   46  718255      1533        1     1430     no   1838.60       -       0.49       0.11       1.05     37.41
   47  657321      3112        8     1425  5'&3'   1461.01       -       1.05       1.78       3.69    100.40
   48  411470       521       26      494  5'&3'    600.56       -       0.06       0.03       0.23      8.73
   49  471875      1521        8     1425  5'&3'   1839.17       -       0.50       0.10       1.03     36.94
   50  657314      1319        8     1049  5'&3'   1257.75       -       0.30       0.09       0.76     28.03
   51  657323      3530       60      969  5'&3'    639.56       -       0.73       2.48       4.12    109.03
   52  657313      1531        1     1430     no   1839.45       -       0.51       0.11       1.05     37.34
   53  264199      1548        1     1430     no   1869.60       -       0.51       0.11       1.05     37.76
   54  411471      1517        8     1425  5'&3'   1828.89       -       0.51       0.11       1.03     36.78
   55  742740      1519        8     1425  5'&3'   1821.89       -       0.49       0.11       1.03     36.95
   56  228399      1530        8     1425  5'&3'   1826.66       -       0.50       0.11       1.04     37.25
   57  411466       686      797     1430     5'    786.90       -       0.10       0.05       0.34     12.46
   58  561177      1515        8     1425  5'&3'   1780.66       -       0.51       0.12       1.05     37.03
   59  445971      1507        8     1425  5'&3'   1844.87       -       0.50       0.10       1.02     36.55
   60  411490      1522        8     1425  5'&3'   1840.49       -       0.51       0.11       1.05     37.04
   61  518635      1519        8     1425  5'&3'   1799.03       -       0.51       0.10       1.03     36.82
   62  552531      1538        1     1430     no   1778.41       -       0.52       0.11       1.05     37.51
   63  398513      1534        4     1430     5'   1790.29       -       0.52       0.10       1.05     37.34
   64  326426      1531        1     1430     no   1811.08       -       0.52       0.10       1.05     37.27
   65  401473      1531        1     1430     no   1797.51       -       0.51       0.10       1.04     37.32
   66  561180      1531        8     1425  5'&3'   1770.37       -       0.51       0.10       1.03     37.13
   67  476272      1522        8     1425  5'&3'   1821.89       -       0.50       0.11       1.03     37.00
   68  360104      1511        1     1430     no   1821.96       -       0.50       0.11       1.03     36.93
   69  360107      1511        1     1430     no   1800.31       -       0.52       0.12       1.06     37.01
   70  641892      1562        1     1430     no   1665.54       -       0.52       0.13       1.09     38.52
   71  290338      1542        1     1430     no   1867.06       -       0.51       0.12       1.05     37.72
   72  469595      2246        8      957  5'&3'   1017.83       -       0.47       0.15       1.21     46.09
   73  272563      1503        1     1430     no   1858.22       -       0.49       0.11       1.03     36.83
   74  553973      1531        8     1425  5'&3'   1830.92       -       0.50       0.11       1.03     37.20
   75  195103      1513        1     1430     no   1866.10       -       0.50       0.11       1.04     37.02
   76  357809      1531        1     1430     no   1844.67       -       0.51       0.12       1.05     37.42
   77  445974       927      417     1323  5'&3'   1170.27       -       0.19       0.06       0.51     18.65
   78  457396      1504        8     1425  5'&3'   1856.78       -       0.49       0.11       1.03     36.61
   79  428126       821      497     1297  5'&3'   1027.00       -       0.14       0.06       0.43     15.86
   80  521003      1054        8     1013  5'&3'   1261.04       -       0.24       0.08       0.61     22.26
   81  445975      1493        8     1425  5'&3'   1801.31       -       0.49       0.11       1.01     36.39
   82  290339      1542        1     1430     no   1869.22       -       0.51       0.12       1.06     37.73
   83  411464       859      618     1425  5'&3'   1062.93       -       0.15       0.06       0.45     16.60
   84  883         1548        1     1430     no   1839.47       -       0.54       0.11       1.08     37.73
   85  500639      1060      416     1425  5'&3'   1338.77       -       0.24       0.07       0.60     22.24
   86  399742      1540        1     1430     no   1856.84       -       0.50       0.12       1.06     37.72
   87  226185      1561        2     1430     5'   1875.68       -       0.51       0.10       1.05     37.88
   88  428127       543       26      494  5'&3'    588.07       -       0.06       0.04       0.25      9.23
   89  334413      1522        1     1430     no   1823.10       -       0.50       0.11       1.04     37.23
   90  190304      1520        1     1430     no   1754.45       -       0.50       0.12       1.05     37.31
   91  71421       1540        1     1430     no   1821.06       -       0.51       0.12       1.05     37.66
   92  557723      1541        1     1430     no   1821.09       -       0.53       0.12       1.07     37.70
   93  537972      1501        1     1430     no   1847.96       -       0.51       0.10       1.03     36.60
   94  272620      1540        1     1430     no   1862.19       -       0.52       0.11       1.06     37.70
   95  272621      1564        1     1430     no   1866.28       -       0.52       0.10       1.06     38.06
   96  543734      1570        1     1430     no   1879.50       -       0.52       0.10       1.06     38.15
   97  390333      1565        1     1430     no   1863.58       -       0.52       0.10       1.06     38.07
   98  712938      1580        1     1430     no   1819.16       -       0.51       0.11       1.06     38.48
   99  324831      1573        1     1430     no   1851.50       -       0.52       0.11       1.07     38.30
  100  405566      1564        1     1430     no   1857.96       -       0.52       0.11       1.06     38.10
  101  257314      1573        1     1430     no   1853.54       -       0.52       0.11       1.07     38.31
  102  349123      1569        8     1430     5'   1854.28       -       0.51       0.11       1.06     38.08
  103  314315      1574        1     1430     no   1886.71       -       0.52       0.10       1.05     38.21
  104  362948      1563        1     1430     no   1868.45       -       0.52       0.10       1.06     38.03
  105  525365      1552        8     1425  5'&3'   1839.32       -       0.51       0.10       1.04     37.62
  106  416870      1547        1     1430     no   1866.04       -       0.51       0.11       1.04     37.72
  107  420247      1476        6     1427  5'&3'   1247.19       -       0.48       0.27       1.16     38.70
  108  339860      1476        6     1427  5'&3'   1245.27       -       0.49       0.25       1.15     38.56
  109  500635      1063      414     1425  5'&3'   1314.97       -       0.25       0.07       0.62     22.31
  110  272843      1543        1     1430     no   1814.49       -       0.58       0.12       1.12     37.79
  111  278197      1578        2     1430     5'   1846.91       -       0.57       0.11       1.12     38.43
  112  431947      1532        1     1430     no   1667.47       -       0.55       0.14       1.11     37.82
  113  529507      1542        2     1430     5'   1855.54       -       0.57       0.12       1.12     37.73
  114  471881      1532        8     1425  5'&3'   1830.89       -       0.53       0.12       1.08     37.40
  115  208964      1536        1     1430     no   1869.89       -       0.57       0.11       1.11     37.49
  116  99287       1545        1     1430     no   1854.54       -       0.55       0.12       1.10     37.80
  117  342451      1553        1     1430     no   1881.48       -       0.56       0.10       1.08     37.78
  118  467705      1557        1     1430     no   1868.43       -       0.57       0.11       1.11     37.94
  119  1069533     1549        1     1430     no   1868.66       -       0.55       0.11       1.09     37.75
  120  210007      1557        1     1430     no   1853.61       -       0.53       0.11       1.08     37.97
  121  170187      1546        1     1430     no   1868.61       -       0.56       0.11       1.09     37.66
  122  160490      1550        1     1430     no   1858.83       -       0.55       0.11       1.09     37.79
  123  388919      1548        1     1430     no   1856.45       -       0.56       0.10       1.10     37.72
  124  391295      1549        1     1430     no   1875.30       -       0.57       0.10       1.10     37.68
  125  203267      1521        1     1430     no   1845.35       -       0.52       0.11       1.06     37.12
