#                                                                          running time (s)                 
#                                                                   -------------------------------          
# idx  seq name  length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ---  --------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
    1  1148        1489        1     1430     no   1820.64       -       0.53       0.11       1.11     36.36
    2  31964       1521        1     1430     no   1860.70       -       0.52       0.10       1.06     37.05
    3  32049       1490        1     1430     no   1823.70       -       0.53       0.11       1.05     36.46
    4  36870       1551        1     1430     no   1816.85       -       0.52       0.12       1.07     38.04
    5  37692       1746       47     1430     5'   1563.21       -       0.55       0.12       1.20     41.96
    6  52598       1376       50     1395  5'&3'   1644.75       -       0.41       0.12       0.95     33.14
    7  56780       1564        1     1430     no   1865.29       -       0.53       0.10       1.08     37.98
    8  58051       1423       49     1357  5'&3'   1650.81       -       0.42       0.11       0.95     33.45
    9  59196       1478       28     1372  5'&3'   1672.15       -       0.44       0.12       1.00     35.21
   10  59374       1501        1     1430     no   1725.43       -       0.55       0.13       1.13     37.11
   11  62928       1536        1     1430     no   1839.29       -       0.54       0.11       1.10     37.51
   12  62977       1538        1     1430     no   1837.96       -       0.54       0.11       1.10     37.55
   13  63737       1489        1     1430     no   1807.94       -       0.50       0.11       1.06     36.41
   14  64091       1473        6     1428  5'&3'   1232.10       -       0.52       0.23       1.18     38.04
   15  65393       1491        1     1430     no   1785.24       -       0.51       0.11       1.06     36.46
   16  71421       1540        1     1430     no   1821.06       -       0.54       0.11       1.10     37.66
   17  76114       1538        1     1430     no   1842.73       -       0.54       0.11       1.11     37.57
   18  78245       1485        1     1430     no   1851.44       -       0.49       0.11       1.03     36.24
   19  85643       1539        1     1430     no   1834.77       -       0.52       0.11       1.09     37.62
   20  96561       1563        1     1430     no   1858.53       -       0.51       0.10       1.08     38.09
   21  106370      1510        1     1430     no   1876.44       -       0.49       0.10       1.04     36.73
   22  114615      1489        1     1430     no   1840.59       -       0.48       0.11       1.03     36.36
   23  115713      1554        1     1430     no   1737.51       -       0.52       0.12       1.10     38.12
   24  118168      1463       23     1427  5'&3'   1781.99       -       0.49       0.11       1.02     35.46
   25  122586      1541        1     1430     no   1831.08       -       0.54       0.12       1.11     37.70
   26  123214      1541        1     1430     no   1779.67       -       0.54       0.11       1.11     37.73
   27  134676      1517        1     1430     no   1856.05       -       0.52       0.09       1.06     36.86
   28  138119      1686        1     1430     no   1864.43       -       0.55       0.11       1.16     40.95
   29  146891      1485        1     1430     no   1837.54       -       0.51       0.11       1.05     36.21
   30  155864      1547        1     1430     no   1827.28       -       0.54       0.12       1.12     37.90
   31  156889      1504        1     1430     no   1863.76       -       0.52       0.09       1.06     36.57
   32  158189      1547        1     1430     no   1732.76       -       0.54       0.12       1.11     37.94
   33  158878      1552        1     1430     no   1887.63       -       0.53       0.10       1.10     37.75
   34  159087      1538        1     1430     no   1826.08       -       0.53       0.11       1.10     37.52
   35  160492      1545        1     1430     no   1847.96       -       0.51       0.11       1.08     37.65
   36  161528      1420       34     1394  5'&3'   1742.62       -       0.44       0.10       0.96     33.90
   37  163164      1505        1     1430     no   1783.16       -       0.49       0.13       1.06     36.99
   38  167879      1545        1     1430     no   1836.34       -       0.52       0.12       1.09     37.85
   39  170187      1546        1     1430     no   1868.61       -       0.55       0.11       1.12     37.66
   40  177416      1527        1     1430     no   1820.84       -       0.52       0.11       1.07     37.29
   41  177437      1563        1     1430     no   1815.48       -       0.56       0.11       1.14     38.13
   42  177439      1547        1     1430     no   1840.86       -       0.54       0.11       1.11     37.87
   43  180281      1446       41     1430     5'   1769.10       -       0.46       0.10       1.00     34.82
   44  187272      1539        1     1430     no   1897.83       -       0.55       0.11       1.12     37.47
   45  187420      1479        6     1427  5'&3'   1289.65       -       0.54       0.24       1.22     38.46
   46  188626      1419       38     1364  5'&3'   1694.99       -       0.43       0.10       0.94     33.38
   47  189518      1509        2     1430     5'   1787.66       -       0.52       0.11       1.08     36.95
   48  190192      1513        6     1427  5'&3'   1351.23       -       0.50       0.25       1.19     39.25
   49  190485      1547        1     1430     no   1855.61       -       0.53       0.11       1.10     37.73
   50  192222      1513        1     1428     3'   1817.72       -       0.50       0.10       1.05     36.86
   51  194439      1502        1     1430     no   1755.12       -       0.51       0.12       1.07     36.84
   52  195103      1513        1     1430     no   1866.10       -       0.58       0.11       1.14     37.02
   53  196162      1527        1     1430     no   1837.84       -       0.54       0.10       1.09     37.25
   54  197221      1490        1     1430     no   1853.87       -       0.51       0.10       1.06     36.34
   55  198214      1542        1     1430     no   1861.50       -       0.56       0.12       1.13     37.72
   56  199310      1551        1     1430     no   1783.35       -       0.52       0.12       1.11     38.06
   57  203122      1534        1     1430     no   1878.60       -       0.52       0.11       1.09     37.43
   58  203123      1564        1     1430     no   1767.88       -       0.53       0.12       1.10     38.24
   59  203124      1488        1     1430     no   1812.37       -       0.51       0.11       1.06     36.36
   60  203267      1521        1     1430     no   1845.35       -       0.52       0.11       1.09     37.12
   61  203275      1525        1     1430     no   1665.70       -       0.54       0.14       1.12     37.65
   62  204536      1525        1     1430     no   1769.27       -       0.54       0.13       1.12     37.54
   63  204669      1502        1     1430     no   1801.89       -       0.53       0.12       1.09     36.76
   64  204773      1533        1     1430     no   1826.27       -       0.55       0.11       1.11     37.40
   65  205914      1543        1     1430     no   1800.15       -       0.56       0.11       1.13     37.75
   66  207949      1533        1     1430     no   1846.89       -       0.52       0.11       1.09     37.37
   67  207954      1540        1     1430     no   1847.23       -       0.55       0.11       1.12     37.58
   68  212042      1506        1     1430     no   1782.88       -       0.55       0.12       1.11     36.97
   69  212717      1513        1     1430     no   1873.04       -       0.59       0.11       1.15     36.98
   70  214092      1543        1     1430     no   1847.84       -       0.55       0.11       1.12     37.75
   71  216432      1526        1     1430     no   1729.74       -       0.58       0.13       1.17     37.60
   72  216596      1481        1     1430     no   1861.08       -       0.58       0.11       1.12     36.13
   73  216895      1545        1     1430     no   1841.39       -       0.58       0.12       1.15     37.84
   74  218491      1544        1     1430     no   1846.44       -       0.57       0.11       1.14     37.81
   75  219305       259       19      251  5'&3'    260.22       -       0.01       0.02       0.11      3.91
   76  220341      1543        1     1430     no   1867.60       -       0.57       0.11       1.14     37.73
   77  221109      1565        1     1430     no   1901.08       -       0.57       0.10       1.14     37.98
   78  221988      1544        1     1430     no   1828.55       -       0.56       0.11       1.12     37.71
   79  224324      1584        1     1430     no   1752.42       -       0.56       0.12       1.16     38.86
   80  224914      1485        1     1430     no   1858.38       -       0.52       0.11       1.08     36.36
   81  226185      1561        2     1430     5'   1875.68       -       0.57       0.10       1.12     37.88
   82  227377      1540        1     1430     no   1852.15       -       0.57       0.11       1.13     37.54
   83  227941      1552        1     1430     no   1741.97       -       0.57       0.13       1.16     38.09
   84  228399      1530        8     1425  5'&3'   1826.66       -       0.57       0.11       1.14     37.25
   85  228405      1455        1     1430     no   1784.01       -       0.60       0.12       1.16     35.93
   86  228908      1499        3     1427  5'&3'   1279.94       -       0.54       0.23       1.22     38.72
   87  232721      1529        1     1430     no   1809.85       -       0.59       0.11       1.16     37.43
   88  234267      1501        1     1430     no   1789.28       -       0.58       0.12       1.14     36.80
   89  234826      1503        1     1430     no   1781.21       -       0.58       0.12       1.15     36.87
   90  234831      1537        1     1430     no   1841.12       -       0.57       0.12       1.14     37.57
   91  235909      1558        1     1430     no   1920.44       -       0.58       0.10       1.15     37.86
   92  236097      1428       46     1361  5'&3'   1697.93       -       0.45       0.10       0.97     33.50
   93  240015      1500        1     1430     no   1782.67       -       0.58       0.11       1.13     36.71
   94  240016      1539        2     1430     5'   1694.23       -       0.57       0.13       1.16     37.85
   95  240292      1758       22     1430     5'   1718.70       -       0.60       0.11       1.20     42.41
   96  242619      1532        1     1430     no   1671.77       -       0.57       0.14       1.13     37.84
   97  243090      1535        1     1430     no   1650.61       -       0.60       0.12       1.16     37.79
   98  243161      1553        1     1430     no   1736.28       -       0.56       0.12       1.12     38.17
   99  243164      1497        1     1430     no   1730.82       -       0.54       0.12       1.08     36.85
  100  243233      1535        1     1430     no   1884.10       -       0.55       0.11       1.08     37.38
  101  243265      1545        1     1430     no   1842.69       -       0.58       0.11       1.13     37.68
  102  243277      1544        1     1430     no   1799.96       -       0.57       0.12       1.11     37.86
  103  243365      1536        1     1430     no   1834.03       -       0.56       0.10       1.10     37.38
  104  246194      1573        1     1430     no   1883.98       -       0.61       0.10       1.14     38.17
  105  246195      1533        1     1430     no   1826.06       -       0.59       0.10       1.12     37.27
  106  251221      1485        1     1430     no   1865.26       -       0.56       0.10       1.07     36.13
  107  252305      1425       11     1399  5'&3'   1724.48       -       0.49       0.12       1.02     34.69
  108  257310      1532        1     1430     no   1809.93       -       0.55       0.12       1.09     37.49
  109  259564      1475        6     1427  5'&3'   1208.06       -       0.60       0.25       1.26     38.32
  110  261317      1552        1     1430     no   1802.10       -       0.57       0.12       1.12     37.99
  111  262724      1519        1     1430     no   1796.56       -       0.55       0.12       1.10     37.21
  112  263358      1515        1     1430     no   1836.47       -       0.58       0.11       1.10     36.86
  113  263820      1470        6     1427  5'&3'   1198.49       -       0.55       0.28       1.25     38.84
  114  264201      1540        2     1430     5'   1711.63       -       0.55       0.14       1.11     38.01
  115  264462      1514        1     1430     no   1824.09       -       0.58       0.11       1.12     37.00
  116  264732      1568        1     1430     no   1915.97       -       0.58       0.11       1.12     38.09
  117  265072      1543        1     1430     no   1829.36       -       0.56       0.11       1.11     37.76
  118  265311      1525        1     1430     no   1795.94       -       0.56       0.11       1.10     37.36
  119  266117      1558        2     1430     5'   1872.79       -       0.56       0.11       1.11     38.00
  120  266779      1485        1     1430     no   1864.43       -       0.54       0.11       1.06     36.28
  121  266835      1485        1     1430     no   1858.48       -       0.54       0.11       1.07     36.29
  122  266940      1519        1     1430     no   1847.69       -       0.58       0.11       1.11     37.01
  123  267747      1525        1     1430     no   1776.99       -       0.57       0.10       1.09     37.13
  124  269484      1508        1     1430     no   1756.62       -       0.55       0.13       1.09     37.04
  125  269796      1484        1     1430     no   1870.32       -       0.56       0.10       1.07     36.11
  126  269797      1477        6     1427  5'&3'   1179.98       -       0.62       0.26       1.30     38.77
  127  269798      1521        1     1430     no   1743.66       -       0.62       0.13       1.16     37.41
  128  269799      1556        1     1430     no   1887.32       -       0.63       0.11       1.18     37.87
  129  269800      1538        1     1430     no   1850.75       -       0.62       0.11       1.15     37.46
  130  272557      1501        6     1426  5'&3'   1345.20       -       0.53       0.23       1.19     38.76
  131  272562      1516        1     1430     no   1852.85       -       0.61       0.10       1.13     36.97
  132  272951      1501        1     1430     no   1826.60       -       0.60       0.11       1.13     36.71
  133  273068      1620        7     1429  5'&3'   1884.08       -       0.64       0.11       1.20     39.31
  134  273116      1470        6     1427  5'&3'   1199.67       -       0.66       0.25       1.31     38.36
  135  273119      1517        1     1430     no   1661.50       -       0.78       0.14       1.34     37.52
  136  273121      1500        1     1430     no   1859.44       -       0.78       0.10       1.30     36.59
  137  278197      1578        2     1430     5'   1846.91       -       0.84       0.11       1.39     38.43
  138  279714      1521       12     1426  5'&3'   1794.92       -       0.76       0.11       1.29     36.96
  139  281090      1524        1     1430     no   1859.62       -       0.79       0.11       1.33     37.15
  140  281689      1558        2     1429  5'&3'   1889.90       -       0.85       0.11       1.38     37.94
  141  283942      1544        1     1430     no   1842.47       -       0.82       0.11       1.37     37.78
  142  287752      1405       18     1365  5'&3'   1727.83       -       1.09       0.16       1.64     33.40
  143  288705      1537        1     1430     no   1821.21       -       1.31       0.17       1.92     37.43
  144  289376      1535        1     1430     no   1832.23       -       1.29       0.18       1.89     37.47
  145  290339      1542        1     1430     no   1869.22       -       1.34       0.17       1.95     37.73
  146  290397      1557        1     1430     no   1876.72       -       1.31       0.14       1.88     37.87
  147  290398      1538        1     1430     no   1862.87       -       1.21       0.16       1.80     37.58
  148  290400      1466        1     1430     no   1776.56       -       1.04       0.22       1.66     36.29
  149  290402      1512        1     1430     no   1868.45       -       1.06       0.16       1.65     36.89
  150  290512      1502        1     1430     no   1751.78       -       0.94       0.18       1.54     36.89
  151  290633      1484        1     1430     no   1813.73       -       1.05       0.15       1.61     36.31
  152  292414      1462        1     1430     no   1785.91       -       1.03       0.17       1.61     36.03
  153  292415      1535        1     1430     no   1811.46       -       1.15       0.19       1.78     37.46
  154  292459      1565        1     1430     no   1872.23       -       1.15       0.16       1.75     38.03
  155  293826      1528        1     1430     no   1876.88       -       1.09       0.18       1.70     37.34
  156  296591      1535        1     1430     no   1821.73       -       1.26       0.21       1.89     37.52
  157  297246      1544        1     1430     no   1845.97       -       1.20       0.20       1.84     37.70
  158  309798      1536        1     1430     no   1717.09       -       1.09       0.25       1.76     37.85
  159  309800      1472        6     1427  5'&3'   1224.45       -       1.13       0.38       1.93     38.30
  160  309801      1522        1     1430     no   1727.84       -       1.28       0.20       1.90     37.35
  161  309807      1540        1     1430     no   1776.09       -       1.14       0.19       1.76     37.75
  162  312153      1533        1     1430     no   1820.02       -       1.04       0.21       1.68     37.41
  163  313589      1529        1     1430     no   1849.39       -       1.09       0.14       1.66     37.24
  164  313590      1523        4     1430     5'   1715.73       -       1.27       0.19       1.88     37.46
  165  313595      1524        1     1430     no   1703.67       -       1.27       0.19       1.91     37.58
  166  313596      1524        1     1430     no   1729.54       -       1.21       0.21       1.87     37.49
  167  313598      1520        1     1430     no   1728.29       -       1.21       0.24       1.89     37.37
  168  313603      1529        1     1430     no   1724.49       -       1.11       0.26       1.83     37.69
  169  313606      1444        1     1378     3'   1631.19       -       1.37       0.21       2.01     34.95
  170  313612      1493        6     1430     5'   1820.52       -       1.24       0.16       1.89     36.46
  171  313624      1482        8     1429  5'&3'   1809.01       -       0.90       0.17       1.56     36.12
  172  313628       695      788     1430     5'    801.80       -       0.23       0.09       0.56     12.64
  173  314230       762      728     1430     5'    859.33       -       0.21       0.14       0.60     14.33
  174  314231      1498        1     1430     no   1810.09       -       1.13       0.22       1.85     36.67
  175  314232      1462        1     1429     3'   1782.86       -       1.40       0.25       2.14     36.01
  176  314254      1850        1     1430     no   1734.72       -       1.42       0.26       2.29     45.13
  177  314260      1461        1     1430     no   1794.15       -       1.06       0.33       1.89     36.05
  178  314265      1597        1     1430     no   1763.30       -       1.09       0.23       1.86     39.21
  179  314271      1348       19     1349  5'&3'   1645.72       -       1.19       0.16       1.82     32.18
  180  314275      1540        1     1430     no   1807.49       -       1.12       0.26       1.90     37.80
  181  314278      1028      459     1430     5'   1310.16       -       0.57       0.08       0.99     21.11
  182  314283      1530        1     1430     no   1860.08       -       1.05       0.18       1.76     37.29
  183  314285      1534        1     1430     no   1856.00       -       1.06       0.18       1.77     37.42
  184  314345      1531        6     1430     5'   1856.21       -       1.00       0.19       1.71     37.31
