TID	name	official name	superkingdom	phylum	class	order	family	genus	species	subspecies
267608	Ralstonia solanacearum GMI1000	Ralstonia solanacearum GMI1000	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum	1
575587	Acinetobacter junii	Acinetobacter junii SH205	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter junii	1
257363	Rickettsia typhi	Rickettsia typhi str. Wilmington	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia typhi	1
391008	Stenotrophomonas maltophilia R5513	Stenotrophomonas maltophilia R551-3	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia	1
190650	Caulobacter crescentus	Caulobacter crescentus CB15	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter vibrioides	1
718254	Enterobacter cloacae NCTC9394	Enterobacter cloacae subsp. cloacae NCTC 9394	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae	Enterobacter cloacae subsp. cloacae
575589	Acinetobacter radioresistens	Acinetobacter radioresistens SH164	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter radioresistens	1
1050720	Agrobacterium tumefaciens F2	Agrobacterium tumefaciens F2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens	1
317655	Sphingopyxis alaskensis	Sphingopyxis alaskensis RB2256	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis alaskensis	1
360911	Exiguobacterium sp. AT1b	Exiguobacterium sp. AT1b	Bacteria	Firmicutes	Bacilli	Bacillales	1	Exiguobacterium	1	1
441620	Methylobacterium populi	Methylobacterium populi BJ001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium populi	1
74546	Prochlorococcus marinus MIT9312	Prochlorococcus marinus str. MIT 9312	Bacteria	Cyanobacteria	1	Prochlorales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus	1
439497	Ruegeria sp. R11	Ruegeria sp. R11	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	1	1
684719	alpha proteobacterium HIMB114	alpha proteobacterium HIMB114	Bacteria	Proteobacteria	Alphaproteobacteria	1	1	1	1	1
314275	Alteromonas macleodii	Alteromonas macleodii str. Deep ecotype	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas macleodii	1
