name_in_ds2_full	TID	name	official name	superkingdom	phylum	class	order	family	genus	species	subspecies
Escherichia_coli_O157_H7_EC4115	155864	Escherichia coli O157H7	Escherichia coli O157:H7 str. EDL933	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia coli	1
Leuconostoc_mesenteroides_mesenteroides_ATCC_8293	203120	Leuconostoc mesenteroides	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc mesenteroides	Leuconostoc mesenteroides subsp. mesenteroides
Coprococcus_comes_ATCC_27758	470146	Coprococcus comes	Coprococcus comes ATCC 27758	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus comes	1
Akkermansia_muciniphila_ATCC_BAA_835	349741	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	1
Alistipes_putredinis_DSM_17216	445970	Alistipes putredinis	Alistipes putredinis DSM 17216	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes putredinis	1
Anaerotruncus_colihominis_DSM_17241	445972	Anaerotruncus colihominis	Anaerotruncus colihominis DSM 17241	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis	1
Bacteroides_caccae_ATCC_43185	411901	Bacteroides caccae	Bacteroides caccae ATCC 43185	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caccae	1
Bacteroides_cellulosilyticus_DSM_14838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteroides_coprocola_M16_DSM_17136	470145	Bacteroides coprocola	Bacteroides coprocola DSM 17136	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides coprocola	1
Bacteroides_coprophilus_DSM_18228	547042	Bacteroides coprophilus	Bacteroides coprophilus DSM 18228	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides coprophilus	1
Bacteroides_dorei_5_1_36_D4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteroides_dorei_DSM_17855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacteroides_eggerthii_DSM_20697	483216	Bacteroides eggerthii	Bacteroides eggerthii DSM 20697	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides eggerthii	1
