TID	name	official name	superkingdom	phylum	class	order	family	genus	species	subspecies	STRING_type
1148	Synechocystis sp. PCC6803	Synechocystis sp. PCC 6803	Bacteria	Cyanobacteria	1	Chroococcales	1	Synechocystis	1	1	core
31964	Clavibacter michiganensis sepedonicus	Clavibacter michiganensis subsp. sepedonicus	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Clavibacter	Clavibacter michiganensis	1	core
32049	Synechococcus sp. PCC7002	Synechococcus sp. PCC 7002	Bacteria	Cyanobacteria	1	Chroococcales	1	Synechococcus	1	1	core
36870	Wigglesworthia glossinidia Gb	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Wigglesworthia	Wigglesworthia glossinidia	1	core
37692	Phytoplasma mali	Candidatus Phytoplasma mali	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	1	1	core
52598	Sulfitobacter sp. EE36	Sulfitobacter sp. EE-36	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	1	1	core
56780	Syntrophus aciditrophicus	Syntrophus aciditrophicus SB	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Syntrophus	Syntrophus aciditrophicus	1	core
58051	Moritella sp. PE36	Moritella sp. PE36	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Moritellaceae	Moritella	1	1	core
59196	Rickettsiella grylli	Rickettsiella grylli	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Rickettsiella	1	1	core
59374	Fibrobacter succinogenes	Fibrobacter succinogenes subsp. succinogenes S85	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter succinogenes	Fibrobacter succinogenes subsp. succinogenes	core
62928	Azoarcus sp. BH72	Azoarcus sp. BH72	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azoarcus	1	1	core
62977	Acinetobacter sp. ADP1	Acinetobacter sp. ADP1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	1	1	core
63737	Nostoc punctiforme	Nostoc punctiforme PCC 73102	Bacteria	Cyanobacteria	1	Nostocales	Nostocaceae	Nostoc	Nostoc punctiforme	1	core
64091	Halobacterium sp. NRC1	Halobacterium sp. NRC-1	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium salinarum	1	core
65393	Cyanothece sp. PCC7424	Cyanothece sp. PCC 7424	Bacteria	Cyanobacteria	1	Chroococcales	1	Cyanothece	1	1	core
71421	Haemophilus influenzae	Haemophilus influenzae Rd KW20	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae	1	core
76114	Aromatoleum aromaticum	Aromatoleum aromaticum EbN1	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Aromatoleum	Aromatoleum aromaticum	1	core
