Total Sequences	759
Alignment Model	Unspecified
Alignment Reference Sequence	(none)
All gap sequences	1
Average number of comparable positions	1384
Average sequence length (model position only)	1394

Sequence Id	Start position	End position
1148	1	1430
31964	1	1430
32049	1	1430
36870	1	1430
37692	47	1430
52598	50	1395
56780	1	1430
58051	49	1357
59196	28	1372
59374	1	1430
62928	1	1430
62977	1	1430
63737	1	1430
64091	6	1428
65393	1	1430
71421	1	1430
76114	1	1430
78245	1	1430
85643	1	1430
96561	1	1430
106370	1	1430
114615	1	1430
115713	1	1430
118168	23	1427
122586	1	1430
123214	1	1430
134676	1	1430
138119	1	1430
146891	1	1430
155864	1	1430
156889	1	1430
158189	1	1430
158878	1	1430
159087	1	1430
160492	1	1430
161528	34	1394
163164	1	1430
167879	1	1430
170187	1	1430
177416	1	1430
177437	1	1430
177439	1	1430
180281	41	1430
187272	1	1430
187420	6	1427
188626	38	1364
189518	2	1430
190192	6	1427
190485	1	1430
192222	1	1428
194439	1	1430
195103	1	1430
196162	1	1430
197221	1	1430
198214	1	1430
199310	1	1430
203122	1	1430
203123	1	1430
203124	1	1430
203267	1	1430
203275	1	1430
204536	1	1430
204669	1	1430
204773	1	1430
205914	1	1430
207949	1	1430
207954	1	1430
212042	1	1430
212717	1	1430
214092	1	1430
216432	1	1430
216596	1	1430
216895	1	1430
218491	1	1430
219305	19	251
220341	1	1430
221109	1	1430
221988	1	1430
224324	1	1430
224914	1	1430
226185	2	1430
227377	1	1430
227941	1	1430
228399	8	1425
228405	1	1430
228908	3	1427
232721	1	1430
234267	1	1430
234826	1	1430
234831	1	1430
235909	1	1430
236097	46	1361
240015	1	1430
240016	2	1430
240292	22	1430
242619	1	1430
243090	1	1430
243161	1	1430
243164	1	1430
243233	1	1430
243265	1	1430
243277	1	1430
243365	1	1430
246194	1	1430
246195	1	1430
251221	1	1430
252305	11	1399
257310	1	1430
259564	6	1427
261317	1	1430
262724	1	1430
263358	1	1430
263820	6	1427
264201	2	1430
264462	1	1430
264732	1	1430
265072	1	1430
265311	1	1430
266117	2	1430
266779	1	1430
266835	1	1430
266940	1	1430
267747	1	1430
269484	1	1430
269796	1	1430
269797	6	1427
269798	1	1430
269799	1	1430
269800	1	1430
272557	6	1426
272562	1	1430
272951	1	1430
273068	7	1429
273116	6	1427
273119	1	1430
273121	1	1430
278197	2	1430
279714	12	1426
281090	1	1430
281689	2	1429
283942	1	1430
287752	18	1365
288705	1	1430
289376	1	1430
290339	1	1430
290397	1	1430
290398	1	1430
290400	1	1430
290402	1	1430
290512	1	1430
290633	1	1430
292414	1	1430
292415	1	1430
292459	1	1430
293826	1	1430
296591	1	1430
297246	1	1430
309798	1	1430
309800	6	1427
309801	1	1430
309807	1	1430
312153	1	1430
313589	1	1430
313590	4	1430
313595	1	1430
313596	1	1430
313598	1	1430
313603	1	1430
313606	1	1378
313612	6	1430
313624	8	1429
313628	788	1430
314230	728	1430
314231	1	1430
314232	1	1429
314254	1	1430
314260	1	1430
314265	1	1430
314271	19	1349
314275	1	1430
314278	459	1430
314283	1	1430
314285	1	1430
314345	6	1430
316274	2	1430
316275	1	1430
316385	1	1430
316407	1	1430
317025	1	1430
317655	1	1430
318586	1	1430
319224	1	1430
320771	28	1351
322710	1	1430
323098	1	1430
323259	6	1427
323848	1	1430
324925	1	1430
326298	1	1430
326427	1	1430
329726	1	1430
330214	1	1430
331104	1	1430
331113	1	1430
333146	6	1427
333990	36	1369
334413	1	1430
335283	1	1430
335284	1	1430
335541	1	1430
335543	1	1430
338966	1	1430
338969	1	1430
339860	6	1427
340100	28	1412
340101	8	1312
340177	1	1430
342108	1	1430
342451	1	1430
342949	6	1427
343509	1	1430
348780	6	1427
349102	1	1430
349124	1	1430
349163	1	1430
349521	1	1430
349741	1	1430
351016	55	1358
351160	6	1427
351348	1	1430
351607	1	1430
352165	28	1379
357244	1	1430
357804	1	1430
358681	1	1430
360095	1	1430
360107	1	1430
360911	1	1430
