Total Sequences	308
Alignment Model	Unspecified
Alignment Reference Sequence	(none)
All gap sequences	1
Average number of comparable positions	1380
Average sequence length (model position only)	1386

Sequence Id	Start position	End position
267608	1	1430
575587	8	1425
257363	1	1430
391008	1	1430
190650	1	1430
718254	1	1430
575589	8	1425
1050720	8	1425
317655	1	1430
360911	1	1430
441620	1	1430
74546	1	1430
439497	61	1317
684719	8	1425
314275	1	1430
543728	1	1430
633149	1	1430
31964	1	1430
198094	1	1430
985665	1	1430
525365	8	1425
714313	1	1430
634452	1	1430
349163	1	1430
595536	19	1349
395019	1	1430
243365	1	1430
444177	1	1430
987059	1	1430
525146	1	1430
911104	2	1430
595494	1	1430
596154	1	1430
382245	1	1430
522306	1	1430
330214	1	1430
743720	1	1430
290340	1	1430
436717	1	1430
234621	1	1430
570417	1	1430
891974	1	1430
420890	1	1430
1028307	1	1430
529507	2	1430
658655	8	1425
446468	1	1430
411468	8	1425
470146	8	1425
457412	8	1425
457425	1	1430
1042163	8	1425
390333	1	1430
535289	1	1430
313627	3	1423
979556	1	1430
290399	1	1430
452863	1	1430
471874	2	1430
556261	8	1425
742767	8	1398
76114	1	1430
216432	1	1430
313594	1	1430
391626	1	1430
1002672	1	1430
393595	1	1430
667129	8	1425
675813	3	1350
287752	18	1365
158878	1	1430
220664	1	1430
283942	1	1430
188626	38	1364
875328	1	1430
228405	1	1430
645127	1	1430
365046	1	1430
765698	1	1430
411684	66	843
314262	1	1429
243230	1	1430
313589	1	1430
685727	1	1430
208596	1	1430
634499	64	1370
634500	6	1429
592316	1	1430
706191	1	1430
626369	19	1148
349520	1	1430
378753	1	1430
675814	31	1368
345073	1	1430
391574	1	1430
478801	1	1430
243231	1	1430
1035184	66	1363
767100	9	1412
680646	1	1430
596329	69	1350
326426	1	1430
585501	63	1425
706433	8	1425
888048	8	1425
575614	1	1430
706434	8	1417
888052	8	1425
596330	19	1350
306537	1	1430
292415	1	1430
292414	1	1430
290339	1	1430
500639	416	1425
944559	8	1419
281090	1	1430
525263	8	1425
525268	8	1425
262543	1	1430
537011	8	1398
411461	8	1425
195103	1	1430
226185	2	1430
552396	8	1425
585543	19	1350
411490	8	1425
314232	1	1429
861360	6	1428
325240	1	1430
383407	1	1430
457427	58	1409
675817	28	1379
467661	97	1429
316278	1	1430
710685	1	1430
1112204	1	1430
176299	1	1430
161528	34	1394
471854	1	1430
445974	417	1323
212717	1	1430
657309	22	1387
642492	1	1430
633147	1	1430
1001585	1	1430
398767	1	1430
158189	1	1430
324057	1	1430
548476	1	1430
592026	8	1425
864565	8	1425
1000588	12	1394
649754	8	1425
314266	1	1430
388739	1	1429
321955	1	1430
546271	1	1430
575611	19	1350
596327	1	1378
470145	8	1425
1097668	1	1430
622637	19	1349
247156	1	1430
525255	8	1425
1051006	1	1409
862515	8	1425
190304	1	1430
879308	14	1308
888741	8	1425
888057	3	1372
575584	19	1350
888742	8	1425
767031	1	1430
546262	8	1425
379066	1	1430
411471	8	1425
547042	8	1425
1040964	69	1430
525366	113	1425
930942	1	1430
411463	976	1430
471870	8	1425
908612	65	1372
445970	8	1425
762984	8	1398
398513	4	1430
367928	1	1430
245018	1	1430
411464	618	1425
484018	8	1234
511680	6	1430
476272	8	1425
545696	235	1425
552531	1	1430
525254	67	1425
553204	26	1421
743718	1	1430
933115	4	1430
511437	1	1430
314315	1	1430
585530	8	1425
479431	1	1430
866774	1	1380
908338	65	494
312284	1	1430
546273	8	1425
446462	1	1430
591001	1	1430
553220	26	1385
655811	8	1398
446469	1	1430
936140	1	1430
391596	1	1424
272568	1	1430
556263	199	1430
483215	8	1425
396513	1	1430
526227	1	1430
1002339	8	1425
585528	1	1376
546263	8	1425
428125	26	494
1005090	1	1430
1035188	1	1425
596320	1	1430
742740	8	1425
657313	1	1430
467705	1	1430
908937	1	1430
553171	1	1372
311403	1	1430
411460	7	1430
457405	8	1425
226186	1	1430
561177	8	1425
245014	28	1379
742766	8	1398
638301	8	1425
469617	201	1430
379731	1	1430
196162	1	1430
445973	26	1381
83332	1	1430
585529	1	1430
679189	1	1372
575615	19	1350
866771	1	1378
887327	8	1425
887325	63	1355
585503	192	1425
575606	8	1425
469613	8	1425
350058	1	1430
360104	1	1430
323850	1	1430
221109	1	1430
66692	1	1430
690566	1	1430
506534	71	1356
743525	1	1430
269797	6	1427
883	1	1430
764299	8	1395
653045	1	1430
645465	194	1115
263358	1	1430
504474	1	1430
760192	1	1430
323259	6	1427
309798	1	1430
709797	1	1430
456442	6	1427
649743	9	1412
879310	26	1407
553219	1	1377
592010	8	1425
944560	9	1412
888059	9	1412
762963	8	1425
873517	9	1412
553177	8	1410
887898	8	1425
203275	1	1430
232363	2	857
521096	1	1430
596324	1	1369
860228	1	1430
553218	8	1425
525245	563	1425
649764	8	1251
71421	1	1430
577650	1	1430
479435	1	1430
397945	1	1430
345219	1	1430
715451	1	1430
398720	5	1430
627192	1	1430
717785	1	1430
266940	1	1430
269798	1	1430
164757	1	1430
176279	1	1430
641147	8	1425
525264	8	1425
716541	1	1430
592015	8	1425
635013	1	1430
